time,v_id,event,p_id
00:00:05,0,1,
00:00:10,1,1,
00:01:40,2,1,
00:02:10,3,1,
00:02:52,4,1,
00:03:04,5,2,49
00:03:04,5,2,48
00:03:04,5,2,47
00:03:08,6,1,
00:03:51,7,1,
00:03:54,8,1,
00:05:17,9,1,
00:05:30,10,1,
00:05:33,12,1,
00:06:04,13,2,129
00:06:06,18,1,
00:06:48,19,1,
00:08:49,21,2,197
00:08:49,21,2,196
00:08:53,22,2,196
00:08:56,23,3,204
00:08:56,23,3,205
00:09:11,26,2,213
00:09:14,27,2,213
00:09:17,28,1,
00:09:19,29,1,
00:10:47,30,1,
00:11:05,31,1,
00:11:19,32,2,242
00:11:19,32,2,253
00:11:19,32,2,237
00:11:55,33,3,237
00:11:55,33,3,263
00:12:05,34,2,237
00:12:05,34,2,263
00:12:09,35,1,
00:12:39,37,2,272
00:12:39,37,3,274
00:12:47,38,2,278
00:12:47,38,2,279
00:12:47,38,2,274
00:13:03,39,1,
00:14:16,40,1,
00:14:23,41,1,
00:14:27,42,1,
00:14:33,43,1,
00:14:38,44,1,
00:15:18,45,3,293
00:15:18,45,3,298
00:15:45,46,2,322
00:15:45,46,2,320
00:16:00,47,2,332
00:16:03,48,1,
